post's uri,author's did,post's text,replyCount,repostCount,likeCount
at://did:plc:chj4njznbfeyrv562jajlwmh/app.bsky.feed.post/3lgaovrfre22q,did:plc:chj4njznbfeyrv562jajlwmh,I literally seen a dem blame Jill Stein yesterday for Trump. Zero self reflection from these neo liberals. They are as bad as maga on my view.,0,0,1
at://did:plc:ffcwxsaxagduk4f3tyzcimoe/app.bsky.feed.post/3lgaooex3ks2h,did:plc:ffcwxsaxagduk4f3tyzcimoe,"Thanks to technology, blue county secession would be so easy, you'll forget all about Jill Stein. 

You don't want to live with a bunch of hillbillies anyway.",0,0,0
at://did:plc:gupnsablxpkuj772m2fs4vci/app.bsky.feed.post/3lgaokw6vis2u,did:plc:gupnsablxpkuj772m2fs4vci,"It worked. Are Democrats angry at Trump or Republicans?

No. Voters stayed home or voted for ground hog Jill Stein.

And now, people on here are yelling at Democrats. It's exhausting.",0,0,0
at://did:plc:c5yqt57hoay6unrotfddmlga/app.bsky.feed.post/3lgao3w6m7c22,did:plc:c5yqt57hoay6unrotfddmlga,"Fuck genocide, I voted jill stein

I'm smart enough to know Aipac is manipulating both parties. 

Stop normalizing killing human children. 

Fuck the government and 2 party system. Protest now.",0,0,0
at://did:plc:rodz5pldaw77vzifbkf2kmxp/app.bsky.feed.post/3lgamlfxrnw2u,did:plc:rodz5pldaw77vzifbkf2kmxp,"I have said for decades now, ""Three lefts make a right."" Jill Stein preys on Naive Youth. Young adults who wear rose colored glasses. They want a perfect world. They have not matured enough to know we have to be practical.",1,0,1
at://did:plc:bjokj4jdwutlebxhjel4nayq/app.bsky.feed.post/3lgamfmjpr22y,did:plc:bjokj4jdwutlebxhjel4nayq,The meddling had to do with third party propaganda that is a big issue. Either they didn’t vote or voted for Jill Stein she is a plant and that was definitely seen manipulation. The left needs to end the factions and unite,1,0,0
at://did:plc:4yx222jm3pdj3frmmiywjrxq/app.bsky.feed.post/3lgalhtnskc2t,did:plc:4yx222jm3pdj3frmmiywjrxq,Here is a Jill Stein troll to block.,0,0,0
at://did:plc:oykkmnlfsvtyul6uzuovjqr6/app.bsky.feed.post/3lgal4ffhrc27,did:plc:oykkmnlfsvtyul6uzuovjqr6,"If you voted for Jill Stein, kindly remove yourself from my followers. 

You own this dystopian nightmare.",0,1,4
at://did:plc:4yx222jm3pdj3frmmiywjrxq/app.bsky.feed.post/3lgakxjdrw22t,did:plc:4yx222jm3pdj3frmmiywjrxq,What’s ol’ Jill Stein up to now? You’re a clown and you are going to receive everything you voted for.,1,0,0
at://did:plc:yrclrwc757za53vry5ipsvhn/app.bsky.feed.post/3lgakohntak2o,did:plc:yrclrwc757za53vry5ipsvhn,"I voted for Jill Stein!
Biden and Harris enabled the Israeli ethnic cleansing and genocide of Palestinians!
Trump won because most white people voted for him!",2,0,0
at://did:plc:3qg4zah5hxcjgwysmdyv6pho/app.bsky.feed.post/3lgaj72pplk2w,did:plc:3qg4zah5hxcjgwysmdyv6pho,I just want to know where Jill Stein is.,0,0,4
at://did:plc:mwagtmvsxuqlgte5iqk3fndm/app.bsky.feed.post/3lgaigzub222c,did:plc:mwagtmvsxuqlgte5iqk3fndm,"Trump on Gaza, I hope voting for Jill Stein was worth it:",2,0,7
at://did:plc:b56ffxuyf7osbbag7owldncw/app.bsky.feed.post/3lgahsnr5xs27,did:plc:b56ffxuyf7osbbag7owldncw,"I honestly didn’t know the depth of it until this election. 

My best friend, a person I’ve known for 23 years, voted for Jill Stein. Someone who I considered the most intelligent person I’ve ever known, effectively voted against my reproductive rights, as well as my daughter’s.",0,0,1
at://did:plc:e4mn3arse6bjrdxnjrzd6zri/app.bsky.feed.post/3lgagqifz422d,did:plc:e4mn3arse6bjrdxnjrzd6zri,Jill Stein voters gotta be feeling good rn 💀🙏,0,0,1
at://did:plc:mbiatltu6v4zf52ldyxlv3ib/app.bsky.feed.post/3lgagmuo2qc2h,did:plc:mbiatltu6v4zf52ldyxlv3ib,"To be fair, I voted for Jill Stein, and at least she won her primary. It's kind of your fault she didn't win. The dnc sued her off the ballot in several states.

Is that how you save democracy?",0,0,0
at://did:plc:fgqjbb57pdc4ioegcirhsnw3/app.bsky.feed.post/3lgae6sanus2p,did:plc:fgqjbb57pdc4ioegcirhsnw3,"I muted someone today after talking to him for a while about why he voted for Jill Stein, pointlessly, so he could pretend she was perfect and not take responsibility for electing the cult leader. He kept criticizing Biden and Obama for their environmental policies but not trump.",0,0,10
at://did:plc:m224gmbj3iansgvczohklq2q/app.bsky.feed.post/3lgadac5iic2z,did:plc:m224gmbj3iansgvczohklq2q,How is Jill Stein solving the genocide right now? She was never going to win so the power she has now is all she would ever have. The Palestinian people are in significantly more peril under 45. It is harrowing.,1,0,0
at://did:plc:vjj57wykm4z3bdjiq6ogoufp/app.bsky.feed.post/3lgacxqwny22c,did:plc:vjj57wykm4z3bdjiq6ogoufp,I can't believe this is where we are fucking right now *Sigh* let me just rant for a second here: Fuck third party voters. Fuck Jill stein voters fuck all the people who decided to stay home and not go out and vote. You really fucked this up. All you have to do is go vote. America is truly fucked.,0,0,0
at://did:plc:lyfiuqv4jz5rs56me2x6rbrs/app.bsky.feed.post/3lgab5dpg3k2r,did:plc:lyfiuqv4jz5rs56me2x6rbrs,My friend voted Jill Stein. I miss him dearly. Might take a while.,0,0,3
at://did:plc:vjj57wykm4z3bdjiq6ogoufp/app.bsky.feed.post/3lgab3ivckc2k,did:plc:vjj57wykm4z3bdjiq6ogoufp,You know what Jill Stein Voters you really fucked up our Country thanks a lot sit down and just think like very long and hard for this. You really thought that Kamala was not going to help Gaza but now this is where we are at.,0,0,2
at://did:plc:iuwjzd7oh5kviej3q2saqotn/app.bsky.feed.post/3lga7ug6h422m,did:plc:iuwjzd7oh5kviej3q2saqotn,"I want to scream into the void. I’m so fucking angry right now. I can’t even stand it. It’s day one.
Where’s all the people who constantly yelling about voting for Jill Stein? If they would’ve voted for Kamala, we would have won.",0,0,1
at://did:plc:b24fxwwymxnmsjmpcjttczr3/app.bsky.feed.post/3lga7smct5k26,did:plc:b24fxwwymxnmsjmpcjttczr3,A significant portion of our country is complicit in murder. I include Jill Stein in that for knowing the stakes and still fucking things up. The worst are those who allowed this because they didn't like Harris' stance on Palestine,0,0,0
at://did:plc:jjpszth7snoc62m4fwlyvdb2/app.bsky.feed.post/3lga7c4rrs225,did:plc:jjpszth7snoc62m4fwlyvdb2,"You realize that even if all of the Jill Stein voters voted for Kamala, she still would have lost, right? She only got like 600k votes lol.",0,0,2
at://did:plc:dym7zzdtgsshybgqekbt3kig/app.bsky.feed.post/3lga727jtmk2k,did:plc:dym7zzdtgsshybgqekbt3kig,"If you voted for Trump, Jill ‘grifter’ Stein, or didn’t vote bc they’re all bad, this is YOUR fault.",0,0,0
at://did:plc:myq7dvonxhde4s6fqrjvq6sa/app.bsky.feed.post/3lga6ugbfns2c,did:plc:myq7dvonxhde4s6fqrjvq6sa,"Voting for Jill Stein was a vote for genocide, you dumb fuck. Where is that bitch now and what exactly is she doing to prevent genocide?",0,0,2
at://did:plc:mkhxdgnaacdw2lwcydtebakl/app.bsky.feed.post/3lga6r6lvis2x,did:plc:mkhxdgnaacdw2lwcydtebakl,"That’s our party and our fault.  6 million stayed home, people voted for Jill stein.  Yet our party didn’t listen to voters over Gaza, economy messaging wasn’t great, as well as getting out as much as possible.  We failed now we fight!!!",0,0,1
at://did:plc:qc5ruz6a4rmdrustknog2j42/app.bsky.feed.post/3lga6oefgcs2s,did:plc:qc5ruz6a4rmdrustknog2j42,Nu de grifter Jill Stein kennende is ze in staat een appartement te kopen in dat beach resort.,1,0,4
at://did:plc:mkhxdgnaacdw2lwcydtebakl/app.bsky.feed.post/3lga6o34wz22x,did:plc:mkhxdgnaacdw2lwcydtebakl,"Oh well you can ask the 6 million that stayed home, or the people who voted for Jill Stein.  They themselves also are complicit but that’s how it works he’s in the White House.  Wish people were madder before the election!!!!",1,0,0
at://did:plc:hdu54pb6yyaqgyy5owhjjxqk/app.bsky.feed.post/3lga66hfjgc2h,did:plc:hdu54pb6yyaqgyy5owhjjxqk,Nobody wants to accept their own mortality and none of us thought people would be dumb enough to ‘Nader the 2016 election. But we all saw Jill Stein sit with Flynn & Putin…only to siphon off JUST enough votes for that monster to “win.”,0,0,11
at://did:plc:v3as3nelu7uzqftk3zvdk7q2/app.bsky.feed.post/3lga5xy4nhs2l,did:plc:v3as3nelu7uzqftk3zvdk7q2,Fuck you Jill Stein and fuck all those who voted for you. Fuck the 45% of Latino men who voted for Trump,0,0,4
at://did:plc:qc5ruz6a4rmdrustknog2j42/app.bsky.feed.post/3lga5xpvar22s,did:plc:qc5ruz6a4rmdrustknog2j42,Misschien kan Jill Stein hem nog overtuigen om van Gaza geen beach resort te maken .,1,1,7
at://did:plc:v3as3nelu7uzqftk3zvdk7q2/app.bsky.feed.post/3lga5qxxcls2l,did:plc:v3as3nelu7uzqftk3zvdk7q2,"Jill Stein voters, you own this!",2,0,3
at://did:plc:oywelfzuhsji2xliuznkpq6z/app.bsky.feed.post/3lga5bbkxac2k,did:plc:oywelfzuhsji2xliuznkpq6z,"don't forget the ""resist"" and jill stein voters, they're just as much to blame for where we find ourselves.",0,0,1
at://did:plc:24ry547stenmupx27dkzecpv/app.bsky.feed.post/3lga4vutns325,did:plc:24ry547stenmupx27dkzecpv,Can someone find that insufferable woman from Michigan who said to vote for Jill Stein or Trump…because they would save Palestinians? Can someone please go back and interview her now?,0,0,1
at://did:plc:m224gmbj3iansgvczohklq2q/app.bsky.feed.post/3lga4p3xlr22z,did:plc:m224gmbj3iansgvczohklq2q,"Voting for Jill Stein (a Russian plant) who ran simply to spoil the Kamala’s chances of winning, did nothing to prevent any genocide. In fact, that vote helped put 45 back in office & the genocide will now escalate. That vote hurt the Palestinians. Period!",1,0,6
