post's uri,author's did,post's text,replyCount,repostCount,likeCount
at://did:plc:5vud7v5e44c4e24k55iab6ts/app.bsky.feed.post/3lfhyomsv5c23,did:plc:5vud7v5e44c4e24k55iab6ts,The ironic thing about Syria: the people in DC who are so vocal about supporting the Syrian people are also the most vocal in keeping the sanctions on. And yet nobody seems to call these people out for it.,0,0,0
at://did:plc:vig5txmvxugry3h5x36mcva2/app.bsky.feed.post/3lfhynk67m22x,did:plc:vig5txmvxugry3h5x36mcva2,Syria RSS feed,0,0,2
at://did:plc:nvjqcywkrtvov6q6gcal77vz/app.bsky.feed.post/3lfhyfnuwus2e,did:plc:nvjqcywkrtvov6q6gcal77vz,"The Great Umayyad Mosque in Damascus is a pearl of the Muslim world, where legendary scholars like Al-Ghazali, Ibn Taymiyyah, and Ibn Arabi once resided. A beacon of Islamic learning and spiritual heritage. 
🕌✨

#Damascus #IslamicHistory #Scholars #syria",0,0,0
at://did:plc:hczgs3mw4f3bbrlyol4y2kyv/app.bsky.feed.post/3lfhyaocrg22f,did:plc:hczgs3mw4f3bbrlyol4y2kyv,"On Monday, I'm posting a new Egyptian Security Sector Report.
This week’s dispatch includes a podcast interview with me, as well as reports on Syria, Palestine, Somalia, the debt crisis, conscription, militarization of education, US military aid, refugees, migration, prisons, security crackdowns.",0,1,0
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3lfhy7iozua2a,did:plc:4hm6gb7dzobynqrpypif3dck,@TRTWorldNow: Lebanese PM Mikati's visit to Syria comes as neighbouring countries seek better relations after fall of Assad regime. Rahul Radhakrishnan reports from Damascus https://t.co/30K61yQMu6,0,0,0
at://did:plc:4gegalrlvwnxarsxjskccfrh/app.bsky.feed.post/3lfhy646ors2m,did:plc:4gegalrlvwnxarsxjskccfrh,Israel claims that it needs to occupy more land in Syria to protect the land in Syria that it already occupies.,0,0,0
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3lfhy3vttzt2l,did:plc:4hm6gb7dzobynqrpypif3dck,"@Telegraph: Some 1,500 victims of a deadly nerve agent are believed to be buried in one mass grave in Syria – now their families want justice

Read the dispatch here ⬇️
 https://t.co/VFruSMr2h8",0,0,0
at://did:plc:47pef25n27xbumca5fdliojm/app.bsky.feed.post/3lfhy3djvgs2b,did:plc:47pef25n27xbumca5fdliojm,"#PETA #TruthSocial #Denmark #USA #England #Ireland #Italy #Africa #Syria  #Malaysia #Greenland #Netherlands #Thailand #Polen #Hungary #Belgium #France #Luxemburg #Turkey #Mexico #Brazil #Japan #Argentina #Korea #Colombia #Australia
Nazis blocking upload of mp3. And your at end?",0,0,0
at://did:plc:vig5txmvxugry3h5x36mcva2/app.bsky.feed.post/3lfhy352hqk2x,did:plc:vig5txmvxugry3h5x36mcva2,"Syria may be making a choice between reconstruction and revenge. It’s none of my business what they do with their country, but if they choose reconstruction rather than forever war, I will be happy to see it. 

I don’t want to see more war, anywhere. That’s what russia wants, they need that.",0,0,0
at://did:plc:e5fcw4r2w7ngevzakcah344p/app.bsky.feed.post/3lfhxxod6ou2e,did:plc:e5fcw4r2w7ngevzakcah344p,"Fahd Bahady, Syria",1,1,1
at://did:plc:qfj6a2dg3uvs3ennlcqvqv3u/app.bsky.feed.post/3lfhxvq2rjy2o,did:plc:qfj6a2dg3uvs3ennlcqvqv3u,"'Both Syria and Lebanon have in the last month gained new leaders whose chief qualification for office is that they both commanded military forces which did not fire a single shot against Israeli invasion and occupation of their countries.'
Craig Murray
www.craigmurray.org....",0,0,1
at://did:plc:g2ysziei3tj3gcyrxbwmp7bc/app.bsky.feed.post/3lfhxsog5uc2e,did:plc:g2ysziei3tj3gcyrxbwmp7bc,"this rarely ends well.

(i'm cautiously optimistic about syria.  i'm sure there's research about this that i'm ignorant of, but i would guess that there's some correlation of good outcomes of revolutions to the level of raw brutality of the preceding regime, maybe?)",0,0,2
at://did:plc:7dyrrsmh2tdg6p2u4tq2jepa/app.bsky.feed.post/3lfhxpk24pc2z,did:plc:7dyrrsmh2tdg6p2u4tq2jepa,Militant Uyghurs in Syria threaten the Chinese government: how much does China have to fear? Good @TheEconomist piece on Uyghur jihadis #terrorism www.economist.com/china/2025/0...,0,0,0
at://did:plc:oysvbqz43onfqcacaryh5tax/app.bsky.feed.post/3lfhxpe5rqw24,did:plc:oysvbqz43onfqcacaryh5tax,"Syrian intelligence says it foiled ISIL attempt to blow up Shia shrine | News ISIL/ISIS

The Sayyida Zeinab shrine in Damascus has previously been targeted by ISIL and other armed groups in Syria. Syrian authorities foiled an attempt by ISIL (ISIS) fighters to blow up a revered Shiite shrine in the…",0,0,0
at://did:plc:pszsihtdygeqixain3cncsd4/app.bsky.feed.post/3lfhxmso2ot2a,did:plc:pszsihtdygeqixain3cncsd4,"Media Lens – Manufacturing Consent For Regime Change In Syria


https://braveneweurope.com/media-lens-manufacturing-consent-for-regime-change-in-syria",0,0,0
at://did:plc:usidppasjec2ycf6na3ipzfy/app.bsky.feed.post/3lfhxjknfik2i,did:plc:usidppasjec2ycf6na3ipzfy,Max B. and the Grayzone types are noticeably quiet and absent and quiet amid the journalists re-entering Syria. Things change when there's no dictator underwriting your work.,0,0,0
